site_id,site_name,unit_id,unit_name,service_line,level_of_care_mix,census,effective_beds,physical_beds,staffed_beds,isolation_blocked_beds,observation_level_pressure,respiratory_support_count,transfer_in_requests,step_down_ready,discharge_barriers,pharmacy_pending,transport_pending,staffing_gap_hours,skill_mix_gap,source_ids,primary_metric_ids,model_ids,caveat
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,acute medicine,acute inpatient weighted,24,24,28,27,3,0.3,5,4,2,7,2,1,21.6,RN/RRT,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,acute medicine,acute inpatient weighted,27,28,31,30,3,0.275,2,2,1,6,2,1,14.4,RN/clinical aide,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_PICU,PICU,critical care,critical care weighted,39,40,44,44,3,0.31,3,3,2,10,3,2,18.0,RN/RRT,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_NICU,NICU,critical care,critical care weighted,40,44,47,47,3,0.285,3,2,1,9,3,2,10.8,RN/clinical aide,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_SURGERY,Surgery,surgical,acute inpatient weighted,35,40,43,42,2,0.28,3,0,0,7,3,2,7.2,RN/clinical aide,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_MENTAL_HEALTH,Mental health,mental health,acute inpatient weighted,41,44,48,48,3,0.345,3,1,0,10,3,2,16.2,RN/clinical aide,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
SITE_ACH_INSPIRED,Alberta Children's-inspired,ACH_INSPIRED_RESPIRATORY,Respiratory,acute medicine,acute inpatient weighted,24,24,28,27,3,0.3,5,4,2,7,2,1,21.6,RN/RRT,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
SITE_ACH_INSPIRED,Alberta Children's-inspired,ACH_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,acute medicine,acute inpatient weighted,26,28,31,30,3,0.275,2,2,1,6,2,1,14.4,RN/clinical aide,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
SITE_ACH_INSPIRED,Alberta Children's-inspired,ACH_INSPIRED_PICU,PICU,critical care,critical care weighted,38,40,44,44,3,0.31,3,3,2,10,3,2,18.0,RN/RRT,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
SITE_ACH_INSPIRED,Alberta Children's-inspired,ACH_INSPIRED_NICU,NICU,critical care,critical care weighted,39,44,47,47,2,0.285,3,2,1,9,3,2,10.8,RN/clinical aide,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_LEVEL_OF_CARE,SRC_SYNTH_ISOLATION_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_WORKLOAD_ACUITY,SRC_SYNTH_DISCHARGE_BARRIERS","METRIC_OCCUPANCY,METRIC_EFFECTIVE_STAFFED_BEDS,METRIC_DISCHARGE_RELIABILITY","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND","Synthetic aggregate unit drilldown. No patient-level rows, direct identifiers, or clinical decisioning."
