site_id,site_name,unit_id,unit_name,service_line,occupancy_pct,staffing_gap_pct,ed_boarders,effective_beds_lost,census,effective_beds,staffed_beds,source_readiness,classification,freshness,confidence,caveat,lineage_panel_id,source_ids
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_RESPIRATORY,Respiratory,acute medicine,1.005,0.12,16,5,24,24,27,review,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,acute medicine,0.955,0.08,11,3,27,28,30,ready,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_PICU,PICU,critical care,0.975,0.1,5,4,39,40,44,review,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_NICU,NICU,critical care,0.915,0.06,3,3,40,44,47,ready,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_SURGERY,Surgery,surgical,0.875,0.04,2,2,35,40,42,ready,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
SITE_STOLLERY_INSPIRED,Stollery-inspired,STOLLERY_INSPIRED_MENTAL_HEALTH,Mental health,mental health,0.935,0.09,4,4,41,44,48,ready,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
SITE_ACH_INSPIRED,Alberta Children's-inspired,ACH_INSPIRED_RESPIRATORY,Respiratory,acute medicine,0.982,0.12,16,5,24,24,27,review,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
SITE_ACH_INSPIRED,Alberta Children's-inspired,ACH_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,acute medicine,0.9319999999999999,0.08,11,3,26,28,30,ready,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
SITE_ACH_INSPIRED,Alberta Children's-inspired,ACH_INSPIRED_PICU,PICU,critical care,0.952,0.1,5,4,38,40,44,review,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
SITE_ACH_INSPIRED,Alberta Children's-inspired,ACH_INSPIRED_NICU,NICU,critical care,0.892,0.06,3,3,39,44,47,ready,derived,15 min,medium-high,Synthetic unit pressure; small cells suppressed.,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_STAFFING_ROSTER,SRC_SYNTH_ED_VISITS"
