release_id,asset_id,panel_id,release_status,version,canary_scope,rollback_trigger,rollback_action,owner,approved_at,caveat
REL-001,INPT_OCCUPANCY_FORECAST,PANEL_SYSTEM_POSTURE,approved for demo,v3.0.1,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,,Release and rollback registry is synthetic demonstration data only.
REL-002,ED_BOARDING_FORECAST,PANEL_SYSTEM_POSTURE,approved for demo,v3.0.2,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,2026-06-11T08:30:00-07:00,Release and rollback registry is synthetic demonstration data only.
REL-003,DISCHARGE_BY_TIME_BAND,PANEL_SYSTEM_POSTURE,hold,v3.0.3,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,2026-06-11T08:30:00-07:00,Release and rollback registry is synthetic demonstration data only.
REL-004,PICU_NICU_PRESSURE,PANEL_SYSTEM_POSTURE,approved for demo,v3.0.4,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,,Release and rollback registry is synthetic demonstration data only.
REL-005,OR_CANCELLATION_RISK,PANEL_SYSTEM_POSTURE,approved for demo,v3.0.5,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,2026-06-11T08:30:00-07:00,Release and rollback registry is synthetic demonstration data only.
REL-006,AMB_REFERRAL_DEMAND_FORECAST,PANEL_SYSTEM_POSTURE,approved for demo,v3.0.6,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,2026-06-11T08:30:00-07:00,Release and rollback registry is synthetic demonstration data only.
REL-007,AMB_BACKLOG_FORECAST,PANEL_SYSTEM_POSTURE,approved for demo,v3.0.7,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,,Release and rollback registry is synthetic demonstration data only.
REL-008,NO_SHOW_LATE_CANCEL_RISK,PANEL_SYSTEM_POSTURE,approved for demo,v3.0.8,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,2026-06-11T08:30:00-07:00,Release and rollback registry is synthetic demonstration data only.
REL-009,URGENT_WAITLIST_BREACH_RISK,PANEL_SYSTEM_POSTURE,approved for demo,v3.0.9,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,2026-06-11T08:30:00-07:00,Release and rollback registry is synthetic demonstration data only.
REL-010,DIAGNOSTIC_READINESS_RISK,PANEL_SYSTEM_POSTURE,hold,v3.0.10,single synthetic site and aggregate replay,"drift watch, alert burden breach, reviewer rejection, or source readiness regression",Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,Synthetic analytics product owner,,Release and rollback registry is synthetic demonstration data only.
