source_id,curated_view,grain,fields,field_types,cadence,classification,phi_sensitivity,dashboard_usage,validation_rules,future_mapping_placeholder
SRC_ADT_ENCOUNTER,CANONICAL.VW_SYNTH_ADT_ENCOUNTER,encounter event,"encounter_id, site_id, unit_id, event_ts, event_type, admit_source, disposition","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",15 minutes,direct_operational_signal,high aggregate only,"inpatient flow, ED boarding, occupancy","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_01
SRC_BED_STATUS,CANONICAL.VW_SYNTH_BED_STATUS,bed-hour,"site_id, unit_id, bed_type, status, effective_bed_flag, updated_ts","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",hourly,direct_operational_signal,low aggregate,"effective capacity, source-readiness stoplights","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_02
SRC_UNIT_CENSUS,CANONICAL.VW_SYNTH_UNIT_CENSUS_HOURLY,unit-hour,"site_id, unit_id, census, physical_beds, effective_beds, staffed_beds","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",hourly,direct_operational_signal,medium aggregate,"today posture, inpatient pressure, model features","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_03
SRC_ED_BOARDING,CANONICAL.VW_SYNTH_ED_BOARDING,ED boarding snapshot,"site_id, decision_to_admit_ts, bed_ready_ts, unit_target, boarder_count","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",15 minutes,direct_operational_signal,medium aggregate,"boarding forecast, command summary","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_04
SRC_DISCHARGE_MILESTONE,CANONICAL.VW_SYNTH_DISCHARGE_MILESTONE,encounter milestone,"encounter_id, milestone_type, milestone_ts, barrier_category, expected_discharge_band","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",hourly,direct_operational_signal,high aggregate only,"discharge reliability, why-this-changed","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_05
SRC_OR_PACU,CANONICAL.VW_SYNTH_OR_PACU_FLOW,case-day,"site_id, case_id, procedure_group, pacu_hold_min, post_op_bed_need, cancellation_reason","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",daily,direct_operational_signal,medium aggregate,"OR cancellation risk, PICU/NICU pressure","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_06
SRC_TRANSFER_REQUEST,CANONICAL.VW_SYNTH_TRANSFER_REQUEST,transfer request,"request_id, origin_region, target_site_id, requested_level_of_care, status, age_band","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",hourly,direct_operational_signal,high aggregate only,provincial network posture,"freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_07
SRC_STAFFING_ROSTER,CANONICAL.VW_SYNTH_STAFFING_ROSTER,unit-shift,"site_id, unit_id, shift_start_ts, required_hours, scheduled_hours, skill_mix_group","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",daily,direct_operational_signal,staff aggregate,effective staffed bed coefficient,"freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_08
SRC_WORKLOAD_ACUITY,CANONICAL.VW_SYNTH_WORKLOAD_ACUITY,unit-shift,"site_id, unit_id, workload_index, observation_level, isolation_factor","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",shift,direct_operational_signal,medium aggregate,"pressure scoring, staffing risk","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_09
SRC_REFERRAL,CANONICAL.VW_SYNTH_REFERRAL,referral,"referral_id, site_id, program, priority, received_ts, triage_complete_ts, status","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",daily,direct_operational_signal,high aggregate only,"ambulatory demand, urgent breach risk","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_10
SRC_WAITLIST,CANONICAL.VW_SYNTH_WAITLIST_SNAPSHOT,program-week,"site_id, program, waitlist_total, waitlist_over_target, median_wait_days, p90_wait_days","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",weekly,direct_operational_signal,medium aggregate,ambulatory access posture,"freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_11
SRC_CLINIC_TEMPLATE,CANONICAL.VW_SYNTH_CLINIC_TEMPLATE,clinic-session,"site_id, program, template_date, slots_available, protected_urgent_slots, provider_group","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",weekly,direct_operational_signal,low aggregate,"third-next-available, scenario capacity","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_12
SRC_APPOINTMENT,CANONICAL.VW_SYNTH_APPOINTMENT,appointment,"appointment_id, program, appointment_ts, appointment_type, completed_flag, no_show_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",daily,direct_operational_signal,high aggregate only,"no-show risk, slot utilization","freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_13
SRC_DIAGNOSTIC_DEPENDENCY,CANONICAL.VW_SYNTH_DIAGNOSTIC_DEPENDENCY,dependency,"dependency_id, program, modality_group, due_ts, complete_ts, readiness_status","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",daily,direct_operational_signal,medium aggregate,diagnostic readiness risk,"freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_14
SRC_SAFETY_QUALITY_SIGNAL,CANONICAL.VW_SYNTH_SAFETY_QUALITY_SIGNAL,signal-day,"site_id, unit_or_program, signal_family, count, severity_proxy, review_status","synthetic ids, timestamps, categorical dimensions, numeric measures, JSON payloads",daily,derived_operational_intelligence,sensitive aggregate,clinical surveillance synthetic-only panels,"freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_15
