event_id,event_type,created_at,created_by,app_area,site_id,unit_or_program,related_ids,related_metric_id,related_model_id,related_panel_id,related_scenario_id,status,severity,note,payload_json,synthetic_demo_flag,writeback_table
EVT-001,scenario_run,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,Scenario Simulation Lab,SITE_STOLLERY_INSPIRED,PICU,"PANEL_SCENARIO_LAB,SCN-INPT-001",,,PANEL_SCENARIO_LAB,SCN-INPT-001,complete,medium,PICU step-down scenario reduced synthetic boarder hours.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.SCENARIO_RUN_LOG""}",True,APP.SCENARIO_RUN_LOG
EVT-002,warning_acknowledgement,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,Inpatient Intelligence,SITE_ACH_INSPIRED,Respiratory,"METRIC_PICU_NICU_PRESSURE,PICU_NICU_PRESSURE,PANEL_INPATIENT_COMMAND",METRIC_PICU_NICU_PRESSURE,PICU_NICU_PRESSURE,PANEL_INPATIENT_COMMAND,,acknowledged,high,Operations huddle acknowledged PICU/NICU warning.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.USER_ANNOTATION""}",True,APP.USER_ANNOTATION
EVT-003,metric_issue_flag,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,Ambulatory Access Intelligence,SITE_PROV_NETWORK,Complex care,"METRIC_DIAGNOSTIC_READINESS,PANEL_AMBULATORY_COMMAND",METRIC_DIAGNOSTIC_READINESS,,PANEL_AMBULATORY_COMMAND,,open,medium,Diagnostic readiness denominator requires owner review.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.WARNING_ACKNOWLEDGEMENT""}",True,APP.WARNING_ACKNOWLEDGEMENT
EVT-004,model_review_note,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,Predictive Asset Layer,SITE_STOLLERY_INSPIRED,Network,"METRIC_SURVEILLANCE_WARNING,SEPSIS_SURVEILLANCE_SIGNAL,PANEL_PREDICTIVE_ASSETS",METRIC_SURVEILLANCE_WARNING,SEPSIS_SURVEILLANCE_SIGNAL,PANEL_PREDICTIVE_ASSETS,,review queued,high,Synthetic surveillance warning remains not clinical-use.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.METRIC_ISSUE_FLAG""}",True,APP.METRIC_ISSUE_FLAG
EVT-005,governance_decision,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,AHA Gatekeeper Control Plane,SITE_ACH_INSPIRED,Neurology,"METRIC_PICU_NICU_PRESSURE,PICU_NICU_PRESSURE,PANEL_GATEKEEPER",METRIC_PICU_NICU_PRESSURE,PICU_NICU_PRESSURE,PANEL_GATEKEEPER,,approved with caveat,medium,Warning label and rollback path required.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.MODEL_REVIEW_NOTE""}",True,APP.MODEL_REVIEW_NOTE
EVT-006,panel_feedback,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,System Posture,SITE_PROV_NETWORK,System,PANEL_SYSTEM_POSTURE,,,PANEL_SYSTEM_POSTURE,,complete,low,Executive mode should keep stoplight overlay visible.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.GOVERNANCE_DECISION""}",True,APP.GOVERNANCE_DECISION
EVT-007,validation_review,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,AHA Gatekeeper Control Plane,SITE_STOLLERY_INSPIRED,PICU,"METRIC_SURVEILLANCE_WARNING,PEDIATRIC_EARLY_WARNING_SIGNAL,PANEL_PREDICTIVE_ASSETS",METRIC_SURVEILLANCE_WARNING,PEDIATRIC_EARLY_WARNING_SIGNAL,PANEL_PREDICTIVE_ASSETS,,hold,high,Synthetic surveillance signal held pending alert-burden review.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.VALIDATION_REVIEW""}",True,APP.VALIDATION_REVIEW
EVT-008,huddle_review_event,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,Ambulatory Access Intelligence,SITE_ACH_INSPIRED,Neurology,"METRIC_WAITLIST_PRESSURE,URGENT_WAITLIST_BREACH_RISK,PANEL_AMBULATORY_COMMAND,SCN-AMB-001",METRIC_WAITLIST_PRESSURE,URGENT_WAITLIST_BREACH_RISK,PANEL_AMBULATORY_COMMAND,SCN-AMB-001,complete,medium,Urgent slot protection scenario promoted for program huddle.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.PANEL_FEEDBACK""}",True,APP.PANEL_FEEDBACK
EVT-009,learning_outcome_review,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,Scenario Simulation Lab,SITE_PROV_NETWORK,Pharmacy,"METRIC_OCCUPANCY,INPT_OCCUPANCY_FORECAST,PANEL_SCENARIO_LAB,SCN-INPT-002",METRIC_OCCUPANCY,INPT_OCCUPANCY_FORECAST,PANEL_SCENARIO_LAB,SCN-INPT-002,complete,medium,Pharmacy acceleration scenario retained after synthetic outcome review.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.HUDDLE_REVIEW_EVENT""}",True,APP.HUDDLE_REVIEW_EVENT
EVT-010,user_annotation,2026-06-11T08:30:00-07:00,synthetic_snowflake_user,Future Real-Data Wiring,SITE_STOLLERY_INSPIRED,Governance,PANEL_WIRING,,,PANEL_WIRING,,open,low,Source-owner mapping placeholder recorded for future curated-view review.,"{""synthetic_demo"": true, ""source"": ""v3 generator"", ""event_table"": ""APP.LEARNING_SYSTEM_OUTCOME_REVIEW""}",True,APP.LEARNING_SYSTEM_OUTCOME_REVIEW
