asset_id,name,domain,output_type,intended_use,not_intended_use,source_data,features,model_class,training_config_window,validation_window,cadence,calibration_status,drift_status,subgroup_performance,thresholds,alert_burden,false_positive_false_negative_review,governance_status,deployment_status,owner,sponsor,last_reviewed,next_review,panels,warnings,caveats,fallback,rollback_plan,related_outputs,evidence_trail,synthetic_evidence,source_fields,feature_families,proxy_coefficients,threshold_logic,calibration,validation,drift,source_lineage,panels_using_it,source_ids
INPT_OCCUPANCY_FORECAST,Inpatient occupancy forecast,Operational,probability and interval,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",gradient boosted trees,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,hourly,review required,watch,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,3 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,review queued,Active; governed threshold,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-001,"Backtest replay, calibration card, drift check, and reviewer note set 01.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.22, ""staffing_gap"": 0.16, ""respiratory_activity"": 0.11, ""resource_ceiling"": -0.08, ""school_break"": 0.04}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,review required,"reviewed across site, age-band, program, priority, and season proxies",watch,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
ED_BOARDING_FORECAST,ED boarding forecast,Operational,hourly boarder-hour forecast,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",Bayesian hierarchical forecast,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,daily,synthetic-calibrated,stable,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,4 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,approved for demo,Active; monitored,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-002,"Backtest replay, calibration card, drift check, and reviewer note set 02.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.23, ""staffing_gap"": 0.178, ""respiratory_activity"": 0.122, ""resource_ceiling"": -0.09, ""school_break"": 0.05}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,synthetic-calibrated,"reviewed across site, age-band, program, priority, and season proxies",stable,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
DISCHARGE_BY_TIME_BAND,Discharge by time-band,Operational,same-day probability,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",queueing simulation,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,weekly,synthetic-calibrated,stable,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,5 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,approved for demo,Validation hold,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-003,"Backtest replay, calibration card, drift check, and reviewer note set 03.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.24, ""staffing_gap"": 0.196, ""respiratory_activity"": 0.134, ""resource_ceiling"": -0.1, ""school_break"": 0.04}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,synthetic-calibrated,"reviewed across site, age-band, program, priority, and season proxies",stable,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
PICU_NICU_PRESSURE,PICU/NICU pressure,Operational,critical care pressure score,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",rules plus calibrated score,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,hourly,synthetic-calibrated,stable,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,6 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,review queued,Active; executive warning,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-004,"Backtest replay, calibration card, drift check, and reviewer note set 04.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.25, ""staffing_gap"": 0.214, ""respiratory_activity"": 0.146, ""resource_ceiling"": -0.08, ""school_break"": 0.05}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,synthetic-calibrated,"reviewed across site, age-band, program, priority, and season proxies",stable,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
OR_CANCELLATION_RISK,OR cancellation risk,Operational,case-day risk score,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",gradient boosted trees,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,daily,synthetic-calibrated,watch,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,7 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,approved for demo,Review before alerting,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-005,"Backtest replay, calibration card, drift check, and reviewer note set 05.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.26, ""staffing_gap"": 0.16, ""respiratory_activity"": 0.158, ""resource_ceiling"": -0.09, ""school_break"": 0.04}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,synthetic-calibrated,"reviewed across site, age-band, program, priority, and season proxies",watch,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
AMB_REFERRAL_DEMAND_FORECAST,Ambulatory referral demand forecast,Operational,weekly demand forecast,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",Bayesian hierarchical forecast,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,weekly,review required,stable,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,8 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,approved for demo,Active; planning only,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-006,"Backtest replay, calibration card, drift check, and reviewer note set 06.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.27, ""staffing_gap"": 0.178, ""respiratory_activity"": 0.11, ""resource_ceiling"": -0.1, ""school_break"": 0.05}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,review required,"reviewed across site, age-band, program, priority, and season proxies",stable,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
AMB_BACKLOG_FORECAST,Ambulatory backlog forecast,Operational,waitlist projection,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",queueing simulation,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,hourly,synthetic-calibrated,stable,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,3 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,review queued,Active; planning only,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-007,"Backtest replay, calibration card, drift check, and reviewer note set 07.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.28, ""staffing_gap"": 0.196, ""respiratory_activity"": 0.122, ""resource_ceiling"": -0.08, ""school_break"": 0.04}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,synthetic-calibrated,"reviewed across site, age-band, program, priority, and season proxies",stable,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
NO_SHOW_LATE_CANCEL_RISK,No-show and late-cancel risk,Operational,appointment risk score,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",rules plus calibrated score,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,daily,synthetic-calibrated,stable,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,4 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,approved for demo,Guardrailed; no individual action,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-008,"Backtest replay, calibration card, drift check, and reviewer note set 08.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.29, ""staffing_gap"": 0.214, ""respiratory_activity"": 0.134, ""resource_ceiling"": -0.09, ""school_break"": 0.05}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,synthetic-calibrated,"reviewed across site, age-band, program, priority, and season proxies",stable,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
URGENT_WAITLIST_BREACH_RISK,Urgent waitlist breach risk,Operational,program-week probability,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",gradient boosted trees,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,weekly,synthetic-calibrated,watch,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,5 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,approved for demo,Active; huddle review,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-009,"Backtest replay, calibration card, drift check, and reviewer note set 09.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.3, ""staffing_gap"": 0.16, ""respiratory_activity"": 0.146, ""resource_ceiling"": -0.1, ""school_break"": 0.04}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,synthetic-calibrated,"reviewed across site, age-band, program, priority, and season proxies",watch,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
DIAGNOSTIC_READINESS_RISK,Diagnostic readiness risk,Operational,dependency gap score,"Synthetic operational planning, governance rehearsal, and model-card demonstration.","No clinical diagnosis, treatment, triage, staffing directive, or automated Connect Care action.",Curated synthetic Snowflake views; no raw EHR tables and no direct identifiers.,"occupancy, bed status, ADT timing, discharge barriers, staffing, public context, ambulatory demand, governed synthetic safety signals",Bayesian hierarchical forecast,2024-07-01 to 2026-03-31 synthetic,2026-04-01 to 2026-06-10 synthetic backtest,hourly,synthetic-calibrated,stable,"reviewed across site, age-band, program, priority, and season proxies",warning threshold set by governance registry; huddle acknowledgement required for high severity,6 expected aggregate warnings/week in synthetic replay,synthetic adjudication notes available in governance evidence trail,review queued,Validation hold,Synthetic analytics product owner,Provincial pediatric operations sponsor,2026-06-11,2026-07-11,"system posture, domain dashboard, Gatekeeper control plane",All outputs marked synthetic-only and not validated for clinical decision-making.,"Requires local validation, subgroup calibration, alert-burden review, and rollback plan.",Hide warning layer and revert to direct/derived operational metrics.,Disable asset flag in CONFIG.MODEL_DEPLOYMENT_REGISTRY and remove panel warning widgets.,"panel lineage, source readiness, scenario lab, learning-system event log",GOV-EVID-010,"Backtest replay, calibration card, drift check, and reviewer note set 10.","site_id, unit_id/program_id, hour_ts/week_start, census, staffed_beds, effective_beds, referrals, waitlist_total, staffing_gap_hours, resource_ceiling_k, respiratory_activity_index, aqhi_max_proxy, school_break_flag","flow, capacity, staffing, discharge/access barriers, finance/resource proxy, public open-context, calendar, site/service seasonality","{""occupancy"": 0.31, ""staffing_gap"": 0.178, ""respiratory_activity"": 0.158, ""resource_ceiling"": -0.08, ""school_break"": 0.05}",Green below 80th synthetic percentile; watch above 80th; high above 92nd or if source readiness regresses.,synthetic-calibrated,"reviewed across site, age-band, program, priority, and season proxies",stable,"Curated synthetic Snowflake views only; no raw EHR table names, direct identifiers, or clinical decision automation.","system posture, domain dashboard, Gatekeeper control plane","SRC_MODEL_PREDICTIONS,SRC_MODEL_VALIDATION_RESULTS,SRC_MODEL_DRIFT_RESULTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
