source_id,curated_view,source_view_name,source_domain,grain,fields,field_types,cadence,classification,phi_sensitivity,dashboard_usage,validation_rules,future_mapping_placeholder
SRC_SYNTH_ADT_EVENTS,CANONICAL.VW_SYNTH_ADT_EVENTS,VW_SYNTH_ADT_EVENTS,core encounter / movement,movement-event,"encounter_id, event_ts, site_id, unit_id, event_type, source_location, destination_location, synthetic_demo_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to hourly,direct_operational_signal,high aggregate only,"inpatient posture, ED-to-inpatient pressure, transfer flow, isolation and level-of-care constraints","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_001
SRC_SYNTH_INPATIENT_ENCOUNTERS,CANONICAL.VW_SYNTH_INPATIENT_ENCOUNTERS,VW_SYNTH_INPATIENT_ENCOUNTERS,core encounter / movement,encounter aggregate,"encounter_id, site_id, unit_id, admit_ts, discharge_ts, age_band, service_line, synthetic_demo_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to hourly,direct_operational_signal,high aggregate only,"inpatient posture, ED-to-inpatient pressure, transfer flow, isolation and level-of-care constraints","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_002
SRC_SYNTH_ED_VISITS,CANONICAL.VW_SYNTH_ED_VISITS,VW_SYNTH_ED_VISITS,core encounter / movement,ED visit aggregate,"visit_id, site_id, arrival_ts, decision_to_admit_ts, admit_disposition, acuity_band, synthetic_demo_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to hourly,direct_operational_signal,high aggregate only,"inpatient posture, ED-to-inpatient pressure, transfer flow, isolation and level-of-care constraints","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_003
SRC_SYNTH_BED_STATUS,CANONICAL.VW_SYNTH_BED_STATUS,VW_SYNTH_BED_STATUS,core encounter / movement,bed-hour,"site_id, unit_id, bed_type, bed_status, clean_ready_flag, isolation_capable_flag, updated_ts","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to hourly,direct_operational_signal,high aggregate only,"inpatient posture, ED-to-inpatient pressure, transfer flow, isolation and level-of-care constraints","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_004
SRC_SYNTH_UNIT_CENSUS_HOURLY,CANONICAL.VW_SYNTH_UNIT_CENSUS_HOURLY,VW_SYNTH_UNIT_CENSUS_HOURLY,core encounter / movement,unit-hour,"site_id, unit_id, hour_ts, census, physical_beds, staffed_beds, effective_beds","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to hourly,direct_operational_signal,high aggregate only,"inpatient posture, ED-to-inpatient pressure, transfer flow, isolation and level-of-care constraints","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_005
SRC_SYNTH_TRANSFER_REQUESTS,CANONICAL.VW_SYNTH_TRANSFER_REQUESTS,VW_SYNTH_TRANSFER_REQUESTS,core encounter / movement,transfer request,"request_id, origin_region, target_site_id, requested_level_of_care, status, request_ts, age_band","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to hourly,direct_operational_signal,high aggregate only,"inpatient posture, ED-to-inpatient pressure, transfer flow, isolation and level-of-care constraints","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_006
SRC_SYNTH_PATIENT_CLASS_STATUS,CANONICAL.VW_SYNTH_PATIENT_CLASS_STATUS,VW_SYNTH_PATIENT_CLASS_STATUS,core encounter / movement,curated aggregate,"record_id, site_id, unit_or_program, event_ts, status, metric_value, synthetic_demo_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to hourly,direct_operational_signal,high aggregate only,"inpatient posture, ED-to-inpatient pressure, transfer flow, isolation and level-of-care constraints","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_007
SRC_SYNTH_LEVEL_OF_CARE,CANONICAL.VW_SYNTH_LEVEL_OF_CARE,VW_SYNTH_LEVEL_OF_CARE,core encounter / movement,curated aggregate,"record_id, site_id, unit_or_program, event_ts, status, metric_value, synthetic_demo_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to hourly,direct_operational_signal,high aggregate only,"inpatient posture, ED-to-inpatient pressure, transfer flow, isolation and level-of-care constraints","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_008
SRC_SYNTH_ISOLATION_STATUS,CANONICAL.VW_SYNTH_ISOLATION_STATUS,VW_SYNTH_ISOLATION_STATUS,core encounter / movement,curated aggregate,"record_id, site_id, unit_or_program, event_ts, status, metric_value, synthetic_demo_flag","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to hourly,direct_operational_signal,high aggregate only,"inpatient posture, ED-to-inpatient pressure, transfer flow, isolation and level-of-care constraints","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_009
SRC_SYNTH_ORDERS,CANONICAL.VW_SYNTH_ORDERS,VW_SYNTH_ORDERS,orders / results / clinical process,order aggregate,"order_group_id, site_id, unit_or_program, order_category, order_status, order_ts, result_or_complete_ts","synthetic ids, timestamps, categorical dimensions, numeric measures, Boolean flags, and JSON payloads",15 minutes to daily,direct_operational_signal,sensitive aggregate,"diagnostic readiness, discharge readiness, surveillance feature families, care-plan milestone context","source view present, field populated, freshness, row count, timestamp logic, referential integrity, metric owner approval, small-cell suppression",CONNECTCARE_OR_ENTERPRISE_MAPPING_TBD_010
