check_id,source_id,rule_name,rule_type,severity,threshold,status,failed_rows,last_run_at,owner,caveat
DQ-001,SRC_SYNTH_UNIT_CENSUS_HOURLY,hourly census completeness,freshness,high,>= 95% expected unit-hours,pass,0,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
DQ-002,SRC_SYNTH_BED_STATUS,bed status legal values,domain,high,no unknown bed_status,pass,0,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
DQ-003,SRC_SYNTH_ADT_EVENTS,movement timestamp sequence,timestamp,high,destination after source event,pass,0,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
DQ-004,SRC_SYNTH_TRANSFER_REQUESTS,transfer request status chronology,timestamp,medium,status_ts not before request_ts,review,11,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
DQ-005,SRC_SYNTH_DIAGNOSTIC_READINESS,dependency denominator approval,definition,medium,owner-approved denominator,review,7,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
DQ-006,SRC_SYNTH_SEPSIS_SCREENING,small cell suppression,privacy,high,counts below threshold suppressed,review,2,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
DQ-007,SRC_OPEN_WEATHER_AQHI,public release freshness,freshness,low,<= 24h lag,review,1,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
DQ-008,SRC_MODEL_DRIFT_RESULTS,latest drift result present,governance,medium,active models checked daily,review,5,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
DQ-009,SRC_WARNING_LOGIC_REGISTRY,warning rollback field,contract,medium,rollback action populated,pass,0,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
DQ-010,SRC_LEARNING_SYSTEM_EVENTS,writeback audit fields,contract,medium,created_by and related ids populated,pass,0,2026-06-11T08:30:00-07:00,Synthetic data quality steward,Synthetic data-quality check; production checks must be approved by source owner.
