site_id,program,horizon_weeks,model_name,model_version,prediction,p10,p90,breach_probability,top_drivers,freshness,validation_status,caveat
SITE_STOLLERY_INSPIRED,respiratory,4,ambulatory_backlog_forecast_synth,v2.0,6,4,7,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,respiratory,8,ambulatory_backlog_forecast_synth,v2.0,5,4,5,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,respiratory,12,ambulatory_backlog_forecast_synth,v2.0,5,4,5,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,respiratory,26,ambulatory_backlog_forecast_synth,v2.0,3,2,3,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,cardiology,4,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,cardiology,8,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,cardiology,12,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,cardiology,26,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,neurology,4,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,neurology,8,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,neurology,12,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,neurology,26,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,surgery_followup,4,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,surgery_followup,8,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,surgery_followup,12,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,surgery_followup,26,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,oncology_survivorship,4,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,oncology_survivorship,8,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,oncology_survivorship,12,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,oncology_survivorship,26,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,complex_care,4,ambulatory_backlog_forecast_synth,v2.0,12,9,14,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,complex_care,8,ambulatory_backlog_forecast_synth,v2.0,11,9,12,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,complex_care,12,ambulatory_backlog_forecast_synth,v2.0,10,8,11,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,complex_care,26,ambulatory_backlog_forecast_synth,v2.0,7,5,8,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,mental_health,4,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,mental_health,8,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,mental_health,12,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,mental_health,26,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,diagnostic_procedures,4,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,diagnostic_procedures,8,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,diagnostic_procedures,12,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_STOLLERY_INSPIRED,diagnostic_procedures,26,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,respiratory,4,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,respiratory,8,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,respiratory,12,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,respiratory,26,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,cardiology,4,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,cardiology,8,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,cardiology,12,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,cardiology,26,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,neurology,4,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
SITE_ACH_INSPIRED,neurology,8,ambulatory_backlog_forecast_synth,v2.0,0,0,0,0.03,"['referral demand', 'template capacity', 'no-show/late-cancel risk']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Backlog forecast is a planning estimate.
