panel_id,title,app_area,classification,source_view_ids,metric_ids,model_ids,freshness,readiness_status,confidence,caveat,lineage_summary,source_ids
PANEL_SYSTEM_POSTURE,Today pediatric system posture,System Posture,derived,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_ED_VISITS,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_MODEL_PREDICTIONS","METRIC_OCCUPANCY,METRIC_ED_BOARDING,METRIC_WAITLIST_PRESSURE","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE",15-90 minutes synthetic replay,ready,high,Synthetic demonstration data; not validated for clinical decision-making.,"Direct source readiness feeds derived metrics; modelled outputs carry model cards, warning labels, and rollback paths.",
PANEL_INPATIENT_COMMAND,Inpatient command,Inpatient Intelligence,derived,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_DISCHARGE_MILESTONES,SRC_SYNTH_PACU_EVENTS","METRIC_OCCUPANCY,METRIC_DISCHARGE_RELIABILITY,METRIC_EFFECTIVE_STAFFED_BEDS","INPT_OCCUPANCY_FORECAST,ED_BOARDING_FORECAST,DISCHARGE_BY_TIME_BAND",15-90 minutes synthetic replay,ready,medium-high,Synthetic demonstration data; not validated for clinical decision-making.,"Direct source readiness feeds derived metrics; modelled outputs carry model cards, warning labels, and rollback paths.",
PANEL_AMBULATORY_COMMAND,Ambulatory command,Ambulatory Access Intelligence,derived,"SRC_SYNTH_REFERRALS,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_APPOINTMENTS","METRIC_WAITLIST_PRESSURE,METRIC_THIRD_NEXT_AVAILABLE,METRIC_NO_SHOW_GUARDRAIL","AMB_BACKLOG_FORECAST,NO_SHOW_LATE_CANCEL_RISK,URGENT_WAITLIST_BREACH_RISK",15-90 minutes synthetic replay,review,medium,Synthetic demonstration data; not validated for clinical decision-making.,"Direct source readiness feeds derived metrics; modelled outputs carry model cards, warning labels, and rollback paths.",
PANEL_PREDICTIVE_ASSETS,Clinical surveillance and predictive assets,Predictive Asset Layer,modelled,"SRC_SYNTH_SAFETY_EVENTS_AGG,SRC_SYNTH_SEPSIS_SCREENING,SRC_MODEL_PREDICTIONS,SRC_MODEL_CARD_REGISTRY",METRIC_SURVEILLANCE_WARNING,"PEDIATRIC_EARLY_WARNING_SIGNAL,SEPSIS_SURVEILLANCE_SIGNAL,RARE_DISEASE_CASE_FINDING_SIGNAL,READMISSION_REVISIT_RISK,LONG_STAY_RISK",15-90 minutes synthetic replay,review,review,Synthetic demonstration data; not validated for clinical decision-making.,"Direct source readiness feeds derived metrics; modelled outputs carry model cards, warning labels, and rollback paths.",
PANEL_SCENARIO_LAB,Scenario simulation lab,Scenario Simulation Lab,modelled,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_STAFFING_ROSTER,SRC_OPEN_RESPIRATORY_ACTIVITY","METRIC_OCCUPANCY,METRIC_WAITLIST_PRESSURE","INPT_OCCUPANCY_FORECAST,AMB_BACKLOG_FORECAST",15-90 minutes synthetic replay,ready,high,Synthetic demonstration data; not validated for clinical decision-making.,"Direct source readiness feeds derived metrics; modelled outputs carry model cards, warning labels, and rollback paths.",
PANEL_GATEKEEPER,AHA Gatekeeper control plane,AHA Gatekeeper Control Plane,derived,"SRC_GOVERNANCE_APPROVALS,SRC_MODEL_CARD_REGISTRY,SRC_LEARNING_SYSTEM_EVENTS,SRC_WARNING_LOGIC_REGISTRY",METRIC_GATEKEEPER_HEALTH,all active assets,15-90 minutes synthetic replay,ready,medium-high,Synthetic demonstration data; not validated for clinical decision-making.,"Direct source readiness feeds derived metrics; modelled outputs carry model cards, warning labels, and rollback paths.",
PANEL_MEMORY,Learning-system memory,Learning System Memory,derived,"SRC_LEARNING_SYSTEM_EVENTS,SRC_GOVERNANCE_APPROVALS,SRC_USER_ANNOTATIONS",METRIC_GATEKEEPER_HEALTH,scenario and acknowledgement outputs,15-90 minutes synthetic replay,ready,medium,Synthetic demonstration data; not validated for clinical decision-making.,"Direct source readiness feeds derived metrics; modelled outputs carry model cards, warning labels, and rollback paths.",
PANEL_WIRING,Future real-data wiring,Future Real-Data Wiring,direct,all curated source placeholders,source-readiness stoplight,no model dependency,15-90 minutes synthetic replay,ready,review,Synthetic demonstration data; not validated for clinical decision-making.,"Direct source readiness feeds derived metrics; modelled outputs carry model cards, warning labels, and rollback paths.",
PANEL_COMMAND_CONTEXT,Command centre context strip,System Posture,open data,,,,15 minutes to weekly synthetic replay,review,medium,Synthetic demonstration data; not validated for clinical decision-making.,"Combines direct, derived, modelled, HR, finance, and open-context layers through curated synthetic views.","SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
PANEL_UNIT_DRAWER,Unit drilldown drawer,Inpatient,derived,,,,15 minutes to weekly synthetic replay,ready,medium-high,Synthetic demonstration data; not validated for clinical decision-making.,"Combines direct, derived, modelled, HR, finance, and open-context layers through curated synthetic views.","SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION"
