warning_id,asset_id,metric_id,panel_id,condition,threshold,severity,acknowledgement_required,alert_burden_cap_per_week,rollback_flag,owner,status,caveat
WARN-RULE-001,INPT_OCCUPANCY_FORECAST,METRIC_OCCUPANCY,PANEL_INPATIENT_COMMAND,prob_above_95 >= 0.55 and ED boarders increasing,0.55,high,True,4,False,Synthetic analytics governance,approved,Synthetic warning logic only; not validated for clinical decision-making.
WARN-RULE-002,PICU_NICU_PRESSURE,METRIC_PICU_NICU_PRESSURE,PANEL_SYSTEM_POSTURE,pressure_score >= 0.70 or transfer requests open > 6h,0.70,high,True,3,False,Synthetic analytics governance,approved,Synthetic warning logic only; not validated for clinical decision-making.
WARN-RULE-003,DISCHARGE_BY_TIME_BAND,METRIC_DISCHARGE_RELIABILITY,PANEL_INPATIENT_COMMAND,same-day discharge probability < 0.62 by 11:00,0.62,medium,True,6,True,Synthetic analytics governance,review,Synthetic warning logic only; not validated for clinical decision-making.
WARN-RULE-004,OR_CANCELLATION_RISK,METRIC_OR_CANCELLATION_RISK,PANEL_INPATIENT_COMMAND,post-op bed demand exceeds staffed bed buffer,4 beds,medium,True,5,False,Synthetic analytics governance,approved,Synthetic warning logic only; not validated for clinical decision-making.
WARN-RULE-005,URGENT_WAITLIST_BREACH_RISK,METRIC_WAITLIST_PRESSURE,PANEL_AMBULATORY_COMMAND,urgent breach probability >= 0.35 for two snapshots,0.35,medium,True,7,False,Synthetic analytics governance,approved,Synthetic warning logic only; not validated for clinical decision-making.
WARN-RULE-006,DIAGNOSTIC_READINESS_RISK,METRIC_DIAGNOSTIC_READINESS,PANEL_AMBULATORY_COMMAND,missing prerequisite rate >= 0.22,0.22,medium,True,5,True,Synthetic analytics governance,review,Synthetic warning logic only; not validated for clinical decision-making.
WARN-RULE-007,PEDIATRIC_EARLY_WARNING_SIGNAL,METRIC_SURVEILLANCE_WARNING,PANEL_PREDICTIVE_ASSETS,aggregate synthetic surveillance score above governed threshold,0.70,medium,True,2,True,Synthetic analytics governance,review,Synthetic warning logic only; not validated for clinical decision-making.
WARN-RULE-008,SEPSIS_SURVEILLANCE_SIGNAL,METRIC_SURVEILLANCE_WARNING,PANEL_PREDICTIVE_ASSETS,synthetic sepsis signal exceeds threshold and alert burden cap,0.62,high,True,1,True,Synthetic analytics governance,hold,Synthetic warning logic only; not validated for clinical decision-making.
WARN-RULE-009,RARE_DISEASE_CASE_FINDING_SIGNAL,METRIC_SURVEILLANCE_WARNING,PANEL_PREDICTIVE_ASSETS,candidate signal visible only when small-cell suppression passes,suppressed,low,False,0,True,Synthetic analytics governance,hold,Synthetic warning logic only; not validated for clinical decision-making.
WARN-RULE-010,NO_SHOW_LATE_CANCEL_RISK,METRIC_NO_SHOW_GUARDRAIL,PANEL_AMBULATORY_COMMAND,guarded overbook proposal exceeds equity/travel guardrail,0.08,medium,True,8,True,Synthetic analytics governance,review,Synthetic warning logic only; not validated for clinical decision-making.
