coefficient_id,coefficient_name,applies_to,value,unit,lower_bound,upper_bound,owner,review_status,reviewed_at,caveat
COEF-BED-001,Staffing factor,METRIC_EFFECTIVE_STAFFED_BEDS,0.82,multiplier,0.65,1.0,Synthetic metric governance,approved,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
COEF-BED-002,Isolation constraint,METRIC_EFFECTIVE_STAFFED_BEDS,0.93,multiplier,0.75,1.0,Synthetic metric governance,approved,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
COEF-FLOW-001,Boarder hour penalty,METRIC_ED_BOARDING,1.25,weighted hour,0.8,1.8,Synthetic metric governance,approved,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
COEF-FLOW-002,Pharmacy barrier ageing,METRIC_DISCHARGE_RELIABILITY,0.18,probability decrement,0.05,0.35,Synthetic metric governance,review,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
COEF-CC-001,PICU transfer demand,METRIC_PICU_NICU_PRESSURE,0.34,pressure weight,0.1,0.6,Synthetic metric governance,review,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
COEF-AMB-001,Urgent referral weight,METRIC_WAITLIST_PRESSURE,2.4,priority weight,1.5,3.5,Synthetic metric governance,approved,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
COEF-AMB-002,Diagnostic dependency gap,METRIC_DIAGNOSTIC_READINESS,0.29,risk weight,0.1,0.5,Synthetic metric governance,review,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
COEF-AMB-003,No-show guardrail,METRIC_NO_SHOW_GUARDRAIL,0.08,maximum overbook share,0.0,0.12,Synthetic metric governance,review,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
COEF-SIM-001,Respiratory surge elasticity,SCENARIO_SIMULATION,0.41,scenario weight,0.2,0.7,Synthetic metric governance,approved,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
COEF-SAFE-001,Synthetic surveillance cap,METRIC_SURVEILLANCE_WARNING,2.0,warnings per week,0.0,4.0,Synthetic metric governance,hold,2026-06-11T08:30:00-07:00,Coefficient values are synthetic and require local validation before production use.
